,city_name,temperature,humidity,wind_speed,cloudiness,latitude,longtitude
0,Umluj,302.3,40,2.2,0,25.0213,37.2685
1,Jieshou,286.04,71,1.56,82,33.2634,115.3611
2,Balabac,300.96,77,4.76,100,7.9868,117.0645
3,Marawi,297.04,91,2.24,100,7.9986,124.2928
4,Shenjiamen,292.07,66,7.05,55,29.9576,122.298
5,Pulgaon,297.29,86,1.94,57,20.7333,78.3333
6,Abha,287.62,24,3.98,0,18.2164,42.5053
7,Stavern,275.84,59,2.1,21,59.0,10.0333
8,Srednekolymsk,268.7,97,1.15,84,67.45,153.6833
9,Gazli,285.21,36,5.84,0,40.1333,63.45
10,Biak,298.61,76,2.01,97,-0.9131,122.8766
11,Jiwani,298.71,24,8.85,0,25.05,61.7417
12,Belaya Gora,266.61,98,4.13,96,68.5333,146.4167
13,Kashgar,283.15,37,5.0,0,39.4547,75.9797
14,Lakselv,273.15,93,4.1,10,70.0513,24.9718
15,Phonhong,293.7,94,1.09,100,18.5007,102.4166
16,Yumen,278.45,51,6.48,100,40.2833,97.2
17,Airai,298.1,36,1.53,39,-8.9266,125.4092
18,Şalālah,297.15,38,1.5,0,17.0151,54.0924
19,Hasaki,283.43,100,3.1,75,35.7333,140.8333
20,Krasnohrad,279.72,77,0.26,0,49.3814,35.4402
21,Cherskiy,267.72,92,3.19,92,68.75,161.3
22,Nikolskoye,274.93,93,3.0,90,59.7035,30.7861
23,Dmitriyevskaya,292.04,75,2.53,100,45.6564,40.7653
24,Khatanga,259.36,85,3.66,26,71.9667,102.5
25,Bereslavka,288.15,77,4.0,40,48.6254,44.0449
26,Kisangani,294.83,96,0.71,94,0.5167,25.2
27,Severo-Kuril’sk,282.92,78,5.26,10,50.6789,156.125
28,Vardø,271.65,92,4.6,75,70.3705,31.1107
29,Itoman,298.24,78,5.1,40,26.1247,127.6694
30,Tessalit,301.72,16,3.86,0,20.1986,1.0114
31,Bad Bevensen,280.29,93,1.0,40,53.0833,10.5833
32,Deputatsky,262.07,95,3.52,100,69.3,139.9
33,Yairipok,293.08,96,0.41,100,24.6667,94.0667
34,Cabra,287.59,51,2.65,0,37.4725,-4.4421
35,Jinxiang,292.23,75,5.2,89,27.4327,120.6062
36,Kribi,298.48,89,2.47,100,2.95,9.9167
37,Caesarea,296.12,83,2.1,40,32.5189,34.9046
38,Mirny,261.15,85,3.0,66,62.5353,113.9611
39,Nizwá,295.5,17,3.28,0,22.9333,57.5333
40,Ubari,296.74,47,4.31,85,26.5921,12.7805
41,Naze,297.15,88,8.7,75,28.3667,129.4833
42,Tūkrah,294.76,76,7.3,100,32.5341,20.5791
43,Izumo,285.15,87,4.6,75,35.3667,132.7667
44,Novikovo,277.97,78,2.86,0,51.1537,37.8879
45,Huilong,291.61,68,3.53,75,31.8111,121.655
46,Anapskaya,289.98,88,3.0,20,44.89,37.38
47,At-Bashi,275.5,67,1.11,0,41.1702,75.8106
48,Krasnosel’kup,263.86,96,5.76,98,65.7,82.4667
49,Gravdal,278.95,64,6.96,11,68.1214,13.5031
50,Vanimo,301.31,72,2.19,100,-2.6741,141.3028
51,Arlit,305.68,12,1.95,0,18.7369,7.3853
52,Butaritari,301.16,71,7.49,86,3.0707,172.7902
53,Zhigalovo,276.72,87,1.63,100,54.8097,105.1578
54,Minsk,276.15,93,2.0,62,53.9,27.5667
55,Dāmghān,283.99,35,0.82,0,36.1683,54.348
56,Leningradskiy,268.81,89,2.75,0,69.3833,178.4167
57,Marihatag,299.13,81,2.77,100,8.7936,126.2969
58,Tromsø,272.15,80,5.7,20,69.6496,18.957
59,Dikson,271.2,93,13.43,98,73.5069,80.5464
60,Police,279.12,99,4.14,40,53.5521,14.5718
61,Suifenhe,275.04,80,1.54,0,44.4,131.1667
62,Kungurtug,272.98,82,0.55,98,50.5994,97.5228
63,Katsuura,287.15,76,6.2,75,35.1333,140.3
64,Hambantota,298.71,84,6.34,94,6.1241,81.1185
65,Pundaguitan,300.43,80,3.69,100,6.3711,126.1689
66,Evensk,275.34,93,1.78,100,61.95,159.2333
67,Kiryat Gat,295.8,83,2.1,40,31.61,34.7642
68,Watsa,290.07,99,0.84,39,3.0372,29.5355
69,Vostok,271.37,88,1.61,0,46.4856,135.8833
70,Kazanka,279.15,81,1.76,20,47.8462,32.8218
71,Longyearbyen,270.15,73,4.1,20,78.2186,15.6401
72,Rognan,270.37,84,1.51,3,67.0953,15.3878
73,Chifeng,279.42,59,3.42,5,42.2683,118.9636
74,San Julián,296.52,40,1.86,61,21.0167,-102.1667
75,Tiksi,264.52,95,6.67,99,71.6872,128.8694
76,Farāh,278.23,65,0.67,0,32.5,62.5
77,Impfondo,295.53,97,1.17,99,1.6381,18.0667
78,Mehamn,275.76,77,4.17,76,71.0357,27.8492
79,Ust-Nera,260.99,87,1.53,96,64.5667,143.2
80,Vrbové,280.46,93,1.5,63,48.6197,17.7226
81,Dumka,297.08,71,1.66,44,24.2667,87.25
82,Verkhoshizhem’ye,278.35,87,5.46,97,58.011,49.1038
83,Dawei,295.08,94,2.71,100,14.0833,98.2
84,Tilichiki,275.8,89,6.42,100,60.4667,166.1
85,Saskylakh,266.05,97,3.09,95,71.9167,114.0833
86,Nsukka,294.92,92,1.06,97,6.8561,7.3927
87,Constantine,283.15,71,2.1,19,36.365,6.6147
88,Rāvar,280.57,52,0.97,0,31.2656,56.8055
89,Usinsk,269.58,96,2.35,45,65.9939,57.5281
90,Yārāda,299.15,100,1.0,75,17.65,83.2667
91,Vanavara,269.97,95,5.08,69,60.34,102.2797
92,Ust-Tsilma,271.76,98,2.28,100,65.441,52.1498
93,Ostrovnoy,274.46,85,5.83,76,68.0531,39.5131
94,Lorengau,302.72,70,3.46,91,-2.0226,147.2712
95,Bud,289.05,63,2.08,75,39.447,-86.1758
96,Fakel,279.99,95,4.66,99,57.6325,53.0252
97,Dhārchula,287.72,35,1.93,22,29.85,80.5333
98,Hami,279.65,51,1.81,38,42.8,93.45
99,Shīeli,285.66,36,3.88,0,44.1667,66.75
100,Yatou,286.26,58,1.58,0,37.15,122.3833
101,Glinishchevo,278.05,83,6.19,100,53.3042,34.0652
102,Kavieng,302.34,70,3.8,62,-2.5744,150.7967
103,Romitan,283.15,34,4.1,0,39.9343,64.3814
104,Talnakh,264.15,92,3.0,90,69.4865,88.3972
105,Lashio,290.74,99,0.67,99,22.9333,97.75
106,Yantal’,274.7,89,6.16,100,56.8471,105.2542
107,Belomorsk,274.41,95,5.07,100,64.5232,34.7668
